Status,Sex,Region,Y2020K1,Y2019K1,Y2018K1,Y2017K1,Y2016K1,Y2015K1
Ugift,Mænd,Region Hovedstaden,505534,501661,496990,491682,484732,476046
Ugift,Mænd,København,209722,206625,202884,198967,195110,190676
Ugift,Mænd,Frederiksberg,30279,30065,30220,30540,30171,29589
Ugift,Mænd,Dragør,3097,3012,3009,3001,2937,2881
Ugift,Mænd,Tårnby,10639,10564,10576,10544,10416,10294
Ugift,Mænd,Albertslund,7390,7429,7397,7458,7453,7375
Ugift,Mænd,Ballerup,11889,11732,11688,11660,11626,11650
Ugift,Mænd,Brøndby,8609,8623,8676,8616,8536,8389
Ugift,Mænd,Gentofte,17788,17888,18002,18065,17876,17633
Ugift,Mænd,Gladsaxe,18624,18799,18694,18447,18006,17703
Ugift,Mænd,Glostrup,6036,5869,5947,5854,5800,5769
Ugift,Mænd,Herlev,7231,7139,7085,6956,6960,6898
Ugift,Mænd,Hvidovre,13985,13921,13817,13589,13491,13281
Ugift,Mænd,Høje-Taastrup,12667,12665,12723,12581,12441,12122
Ugift,Mænd,Ishøj,5790,5767,5818,5756,5673,5588
Ugift,Mænd,Lyngby-Taarbæk,14788,14628,14534,14434,14329,14009
Ugift,Mænd,Rødovre,10590,10363,10156,9864,9675,9543
Ugift,Mænd,Vallensbæk,3956,3949,3824,3687,3606,3548
Ugift,Mænd,Allerød,5503,5583,5470,5363,5282,5171
Ugift,Mænd,Egedal,9674,9689,9574,9581,9493,9386
Ugift,Mænd,Fredensborg,8927,8883,8909,8790,8733,8656
Ugift,Mænd,Frederikssund,10063,10167,10133,10122,9996,9894
Ugift,Mænd,Furesø,9238,9282,9216,9195,9045,8670
Ugift,Mænd,Gribskov,8722,8863,8793,8746,8762,8652
Ugift,Mænd,Halsnæs,6880,6834,6813,6914,6846,6777
Ugift,Mænd,Helsingør,14237,14313,14421,14499,14343,14161
Ugift,Mænd,Hillerød,12375,12319,12244,12020,11822,11574
Ugift,Mænd,Hørsholm,5015,5030,5037,5017,4943,4923
Ugift,Mænd,Rudersdal,13074,12919,12619,12730,12684,12573
Ugift,Mænd,Bornholm,8724,8719,8693,8667,8656,8639
Ugift,Mænd,Christiansø,22,22,18,19,21,22
Ugift,Mænd,Region Sjælland,199579,199205,198553,197598,195353,192212
Ugift,Mænd,Greve,11245,11136,11000,10963,10860,10601
Ugift,Mænd,Køge,14676,14562,14527,14415,14262,14012
Ugift,Mænd,Lejre,6124,6043,5940,5968,5959,5905
Ugift,Mænd,Roskilde,21646,21635,21633,21726,21487,21054
Ugift,Mænd,Solrød,5252,5187,5012,4951,4846,4733
Ugift,Mænd,Faxe,8678,8706,8559,8458,8415,8187
Ugift,Mænd,Guldborgsund,14237,14253,14323,14196,13966,13847
Ugift,Mænd,Holbæk,17397,17248,17130,17103,16706,16327
Ugift,Mænd,Kalundborg,11585,11644,11785,11709,11585,11508
Ugift,Mænd,Lolland,9634,9716,9795,9811,9875,9880
Ugift,Mænd,Næstved,20488,20470,20396,20233,19998,19708
Ugift,Mænd,Odsherred,7220,7245,7169,7152,7079,6989
Ugift,Mænd,Ringsted,8713,8624,8496,8434,8352,8147
Ugift,Mænd,Slagelse,20113,20087,20120,19988,19663,19281
Ugift,Mænd,Sorø,7221,7234,7177,7101,7080,6986
Ugift,Mænd,Stevns,4996,5025,5017,4975,4886,4826
Ugift,Mænd,Vordingborg,10354,10390,10474,10415,10334,10221
